label,sample
book_name,The Tomb
book_name,The Shunned House
book_name,At The Mountains Of Madness
book_name,The Horror At Red Hook
book_name,The Shadow Over Innsmouth
book_name,Herbert West Reanimator
book_name,The Lurking Fear
book_name,The Call Of Cthulhu
book_name,The Dunwich Horror
book_name,The Thing On The Doorstep
book_name,Tomb
book_name,Shunned House
book_name,Mountains Of Madness
book_name,Horror At Red Hook
book_name,Shadow Over Innsmouth
book_name,Lurking Fear
book_name,Call Of Cthulhu
book_name,Dunwich Horror
book_name,Thing On Doorstep
book_author,Lovecraft
book_author,H. P. Lovecraft
book_genre,horror
book_genre,cosmic horror
book_genre,cthulhu
audiobook_narrator,Wayne June
audiobook_streaming_provider,HorrorBabble
audiobook_streaming_provider,Horror Babble
